,count,mean,std,min,25%,50%,75%,max,Category,Description
id,57755.0,600544.2828326551,345110.7238403628,201.0,309501.0,604004.0,875703.0,1267501.0,Other,Unique identifier for each individual
period,57755.0,1.0,1.4142258057453352,-1.0,0.0,1.0,2.0,3.0,,
MPUBID_XRND,57755.0,6005.423166825383,3451.1074627970615,2.0,3095.0,6040.0,8757.0,12675.0,Other,Mother's public ID (cross-round)
CRACE_XRND,57755.0,2.338239113496667,0.7803325214454374,1.0,2.0,3.0,3.0,3.0,Other,"Child's race (cross-round, categorical)"
CSEX_XRND,57745.0,1.4893064334574422,0.4998899630002677,1.0,1.0,1.0,2.0,2.0,Other,"Child's sex (cross-round, categorical)"
CYRB_XRND,57625.0,1986.0545770065075,6.35057335631611,1970.0,1981.0,1985.0,1990.0,2005.0,Other,Child's year of birth
HGC_OF_MOTHER_AS_OF_MAY_1_R,54646.0,12.468250198813417,2.4760635404124454,0.0,12.0,12.0,14.0,20.0,Parent_Characteristics,"Mother's highest grade completed as of May 1, answered yearly (number of years in school)"
HOW_MANY_BOOKS,34748.0,15.625857795172863,6.057003559468557,0.0,12.0,20.0,20.0,20.0,Monetary_Investment,Number of books in the home
HOW_OFTEN_MOM_READS,18128.0,2.472810335821426,2.1807266243663608,0.0,1.0,1.25,3.0,7.0,Time_Investment,"How often mother reads to child (frequency, times per week)"
HOW_OFT_CH_EATS_W,33520.0,5.698039548322261,4.724526955230914,0.0,1.0,6.1,7.0,14.0,Time_Investment,"How often child eats with family (frequency, times per week)"
MOM_HELPS_CH_LEARN_NUMBERS,3759.0,0.988560787443469,0.09975622595377291,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn numbers (yes/no)
MOM_HELPS_CH_LEARN_ALPHABET,3685.0,0.9847127996381728,0.11351667450544671,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn alphabet (yes/no)
MOM_HELPS_CH_LEARN_COLORS,3754.0,0.986680873734683,0.10634688626338683,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn colors (yes/no)
MOM_HELPS_CH_LEARN_SHAPES,3400.0,0.9596078431372549,0.18562607429963865,0.0,1.0,1.0,1.0,1.0,Time_Investment,Mother helps child learn shapes (yes/no)
